Lineage name	Date range	Total	Global lineage	Time since last sample	Activity score
UK175	Mar-01, Aug-21	748 taxa	B.1, B.1.5, B.1.71, B, B.6, B.1.35	10 days	0.0068
UK336	Mar-19, Jul-22	747 taxa	B.1, B.1.93	40 days	0.0035
UK5	Feb-28, Aug-31	449 taxa	B.1.1.12, B.1.1.14, B.1.1.13, B.1.1.10, B.1.1	0 days	active today
UK109	Mar-12, Aug-21	340 taxa	B.1, B.1.100, B.1.99	10 days	0.0171
UK1195	Jul-28, Aug-31	333 taxa	B.1.1, B.1.1.25	0 days	active today
UK40	Mar-13, Jun-23	255 taxa	B.16, B.2, B	69 days	0.0056
UK199	Mar-05, Aug-26	234 taxa	B.1.5, B.1.5.10, B.1	5 days	0.0446
UK2464	Mar-19, Jun-29	209 taxa	B.1, B.1.90, B.1.5, B.1.11	63 days	0.0025
UK5676	Mar-09, Jul-22	192 taxa	B.2	40 days	0.0051
UK39	Mar-12, May-29	187 taxa	A.2	94 days	0.004
UK1211	Aug-02, Aug-29	164 taxa	B.1.1	2 days	0.37
UK2913	Mar-18, Jul-15	162 taxa	B.1, B.1.13, B.1.5, B.1.11	47 days	0.0038
UK191	Mar-22, Aug-21	107 taxa	B.1, B.1.77	10 days	0.1236
UK1951	Mar-13, Aug-20	83 taxa	B.1.1.1, B.1.1	11 days	0.0072
UK1254	Mar-22, May-21	81 taxa	B.1, B.1.89	102 days	0.0074
UK1683	Mar-16, Aug-21	75 taxa	B.1.1.1, B.1.1	10 days	0.0204
UK100	Mar-22, Jun-01	63 taxa	B.1, B.1.101	91 days	0.0124
UK107	Mar-09, Jul-20	63 taxa	B.2.1	42 days	0.0021
UK312	Aug-01, Aug-31	63 taxa	B.1	0 days	active today
UK1487	Mar-17, Jun-24	60 taxa	B.1.5	68 days	0.0135
UK1964	Mar-29, Jun-27	60 taxa	B.1.1, B.1.1.14	65 days	0.0257
UK1152	Jul-17, Aug-21	58 taxa	B.1.1	10 days	0.0434
UK2068	Apr-16, Aug-18	56 taxa	B.1.1.4, B.1.1	13 days	0.0232
UK14	Mar-14, May-21	54 taxa	B.2, B	102 days	0.0131
UK21	Mar-18, May-23	53 taxa	B.1, B.1.40	100 days	0.0127
UK44	Mar-17, May-01	52 taxa	B	122 days	0.0065
UK72	Mar-07, Jun-23	52 taxa	B.2, B	69 days	0.0044
UK1186	Aug-11, Aug-31	42 taxa	B.1, B.1.79	0 days	active today
UK407	Aug-11, Aug-31	42 taxa	B.1, B.1.79	0 days	active today
UK945	Mar-18, Aug-30	42 taxa	B.1.1	1 days	0.4427
UK167	Mar-12, Jul-15	42 taxa	B.1	47 days	0.0063
UK1437	Apr-08, May-14	42 taxa	B.1	109 days	0.0081
UK600	Mar-07, Jul-13	41 taxa	B.1.1	49 days	0.009
UK4493	Apr-23, May-19	37 taxa	B.1	104 days	0.0125
UK1684	Mar-18, Jul-04	36 taxa	B.1.1.1, B.1.1	58 days	0.0059
UK87	Mar-13, Apr-24	36 taxa	B.1, B.1.70	129 days	0.0093
UK719	Mar-13, Aug-28	33 taxa	B.1.1	3 days	0.2424
UK43	Mar-18, Apr-22	32 taxa	A.5	131 days	0.0098
UK1667	Mar-31, Jun-02	31 taxa	B.1.9, B.1	90 days	0.0189
UK501	Mar-19, Aug-20	29 taxa	B.1	11 days	0.1126
UK187	Mar-21, Jun-05	29 taxa	B.1	87 days	0.0105
UK1060	Mar-13, Aug-14	29 taxa	B.1.1.1, B.1.1	17 days	0.0293
UK2916	Mar-03, Aug-11	27 taxa	B.1, B.1.98	20 days	0.0161
UK267	Mar-19, Jul-15	26 taxa	B.2	47 days	0.0128
UK1076	Mar-27, Aug-22	25 taxa	B.1.1	9 days	0.0714
UK502	Mar-06, Apr-16	23 taxa	B.1.69, B.1	137 days	0.013
UK2200	Mar-17, Aug-26	20 taxa	B.1, B.1.5	5 days	0.2105
UK740	Mar-28, Jun-13	20 taxa	B.1.1	79 days	0.0066
UK1418	Mar-23, Jul-09	19 taxa	B.1.5	53 days	0.1132
UK58	Mar-12, Apr-24	18 taxa	B.1	129 days	0.0128
UK512	Apr-07, May-13	18 taxa	B.1.5, B.1.5.6	110 days	0.0193
UK1332	Mar-24, May-19	18 taxa	B.1.5	104 days	0.0199
UK261	Mar-19, Apr-15	18 taxa	A.3	138 days	0.0115
UK1151	Aug-05, Aug-25	18 taxa	B.1	6 days	0.0926
UK1346	Mar-08, Jul-10	17 taxa	B.1.1	52 days	0.0994
UK1040	Mar-21, May-06	16 taxa	B.1.1.20, B.1.1	117 days	0.0262
UK387	Mar-12, Jul-31	16 taxa	B.1, B.1.5, B.1.77	31 days	0.0256
UK120	Mar-02, Jun-07	16 taxa	B	85 days	0.0158
UK436	Mar-28, May-14	16 taxa	B.1.5	109 days	0.0275
UK669	Apr-15, Aug-03	15 taxa	B.1.1	28 days	0.0591
UK330	Mar-27, Jul-02	14 taxa	B.1, B.1.93	60 days	0.0808
UK601	Mar-14, May-15	14 taxa	B.10	108 days	0.0052
UK245	Apr-01, Apr-27	13 taxa	B.2	126 days	0.0255
UK1230	Mar-26, Jun-02	12 taxa	B.1.1	90 days	0.0264
UK522	Mar-23, Apr-24	12 taxa	B.1	129 days	0.0226
UK847	Aug-13, Aug-31	12 taxa	B.1, B.1.36	0 days	active today
UK6	Mar-23, Jul-17	12 taxa	B.1, B.1.75	45 days	0.0176
UK529	Aug-06, Aug-22	12 taxa	B.1	9 days	0.1481
UK800	Aug-11, Aug-30	11 taxa	B.1	1 days	0.9048
UK12	Aug-06, Aug-14	11 taxa	B.1	17 days	0.1668
UK5498	Mar-12, Jul-19	11 taxa	B.2	43 days	0.0187
UK1212	Mar-30, Jul-04	11 taxa	B.1.1	58 days	0.033
UK917	Apr-05, Jul-23	9 taxa	B.1.1	39 days	0.0169
UK924	Aug-19, Aug-31	9 taxa	B.1.113, B.1	0 days	active today
UK2022	Aug-13, Aug-31	9 taxa	B.1.1	0 days	active today
UK1034	Apr-22, May-27	9 taxa	B.1.1.28	96 days	0.0456
UK548	Mar-14, Apr-03	8 taxa	B.2.1	150 days	0.0167
UK345	Mar-20, May-15	8 taxa	B.2.2, B.2	108 days	0.0096
UK605	Apr-01, Apr-10	8 taxa	B.1	143 days	0.0096
UK1289	Mar-30, May-11	7 taxa	B.1.1	112 days	0.0625
UK628	Mar-31, Apr-24	7 taxa	B.1	129 days	0.031
UK306	Mar-30, Apr-20	7 taxa	B.1	133 days	0.0263
UK133	Mar-22, Apr-25	7 taxa	B.1	128 days	0.0266
UK51	Mar-26, Jul-15	7 taxa	B.1.36	47 days	0.016
UK1145	Aug-03, Aug-26	6 taxa	B.1.1	5 days	0.0951
UK315	Mar-14, Aug-02	6 taxa	B.2.2	29 days	0.0237
UK1855	Jul-28, Aug-26	6 taxa	B.1.1	5 days	0.0639
UK508	Mar-30, Apr-30	6 taxa	B.1.5.6	123 days	0.0103
UK399	Aug-12, Aug-31	6 taxa	B.1	0 days	active today
UK1709	Aug-17, Aug-26	6 taxa	B.1.1	5 days	0.152
UK667	Mar-20, Jun-10	6 taxa	B.1.77	82 days	0.0244
UK1126	Mar-23, Aug-17	6 taxa	B.1.1	14 days	0.0559
