Lineage name	England	Scotland	Northern Ireland	Wales	Date range	Global lineage	Total
UK2045	36 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, May-25	B.1.1, B.1, B.1.5	36 taxa
UK87	0 (0%)	36 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-24	B.1, B.1.70	36 taxa
UK738	36 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Jun-09	B.1.1	36 taxa
UK646	32 (88.89%)	3 (8.33%)	0 (0%)	1 (2.78%)	Mar-12, Jun-16	B.1.1	36 taxa
UK994	35 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, May-18	B.1, B.1.5	35 taxa
UK1218	33 (94.29%)	2 (5.71%)	0 (0%)	0 (0%)	May-07, Jul-22	B.1.1, B.1.1.1	35 taxa
UK508	7 (20.59%)	6 (17.65%)	0 (0%)	21 (61.76%)	Mar-19, Apr-30	B.1.35, B.1, B.1.5.6	34 taxa
UK215	34 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-19	B.2.1	34 taxa
UK331	34 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-02, Aug-21	B.1, B.1.36	34 taxa
UK1026	12 (36.36%)	0 (0%)	0 (0%)	21 (63.64%)	Mar-28, May-15	B.1.1	33 taxa
UK1230	20 (60.61%)	12 (36.36%)	0 (0%)	1 (3.03%)	Mar-18, Jun-02	B.1.1	33 taxa
UK43	1 (3.03%)	32 (96.97%)	0 (0%)	0 (0%)	Mar-12, Apr-22	A.5	33 taxa
UK462	26 (78.79%)	0 (0%)	0 (0%)	7 (21.21%)	Apr-01, Jun-09	B.1	33 taxa
UK1270	28 (84.85%)	0 (0%)	0 (0%)	5 (15.15%)	Mar-17, Jun-24	B.1.1	33 taxa
UK1911	31 (93.94%)	1 (3.03%)	0 (0%)	1 (3.03%)	Mar-26, Apr-29	B.1.1	33 taxa
UK1307	33 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Jun-08	B.1.34, B.1, B.1.5	33 taxa
UK1029	29 (87.88%)	2 (6.06%)	0 (0%)	2 (6.06%)	Apr-04, Aug-09	B.1	33 taxa
UK1223	32 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, May-15	B.1.1.1	32 taxa
UK439	32 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-20	B.1.66, B.1	32 taxa
UK2014	31 (96.88%)	0 (0%)	0 (0%)	1 (3.12%)	Apr-08, Jun-03	B.1.1	32 taxa
UK1769	31 (96.88%)	0 (0%)	0 (0%)	1 (3.12%)	Mar-30, Aug-21	B.1.1, B.1	32 taxa
UK1274	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-22, Jul-16	B.1.1	31 taxa
UK5501	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, Jun-24	B.1.12, B.1	31 taxa
UK1843	29 (93.55%)	0 (0%)	1 (3.23%)	1 (3.23%)	Mar-21, Aug-08	B.1.1	31 taxa
UK49	28 (90.32%)	1 (3.23%)	1 (3.23%)	1 (3.23%)	Mar-12, Aug-06	B.2, B.9, B	31 taxa
UK1061	19 (61.29%)	0 (0%)	11 (35.48%)	1 (3.23%)	Apr-17, Aug-20	B.1	31 taxa
UK1865	29 (93.55%)	0 (0%)	0 (0%)	2 (6.45%)	Mar-28, Aug-17	B.1.1	31 taxa
UK174	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Aug-04	B.1, B.1.5	31 taxa
UK108	29 (96.67%)	1 (3.33%)	0 (0%)	0 (0%)	Apr-22, Jul-16	B.1	30 taxa
UK881	29 (96.67%)	0 (0%)	0 (0%)	1 (3.33%)	Mar-10, May-16	B.1.1	30 taxa
UK101	28 (93.33%)	1 (3.33%)	0 (0%)	1 (3.33%)	Mar-21, Apr-25	B.1, B.1.5	30 taxa
UK1282	28 (93.33%)	0 (0%)	0 (0%)	2 (6.67%)	Mar-15, Apr-18	B.1.1	30 taxa
UK2062	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Jun-04	B.1.1	30 taxa
UK298	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-13, Aug-05	B.1, B.1.5	30 taxa
UK2007	28 (96.55%)	1 (3.45%)	0 (0%)	0 (0%)	Apr-03, Jun-24	B.1.1	29 taxa
UK218	29 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Jun-02	B.1	29 taxa
UK134	24 (82.76%)	5 (17.24%)	0 (0%)	0 (0%)	Mar-04, Apr-13	B.1, B.1.5	29 taxa
UK2028	28 (96.55%)	0 (0%)	0 (0%)	1 (3.45%)	Mar-21, May-04	B.1.1	29 taxa
UK712	29 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, Jun-21	B.1.5	29 taxa
UK399	14 (50.0%)	6 (21.43%)	6 (21.43%)	2 (7.14%)	Aug-10, Sep-01	B.1	28 taxa
UK1663	27 (96.43%)	0 (0%)	0 (0%)	1 (3.57%)	Mar-17, May-02	B.1.1	28 taxa
UK2003	26 (92.86%)	1 (3.57%)	1 (3.57%)	0 (0%)	Mar-19, Apr-27	B.1.1	28 taxa
UK1332	9 (32.14%)	18 (64.29%)	0 (0%)	1 (3.57%)	Mar-24, May-19	B.1, B.1.5	28 taxa
UK1233	28 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Aug-26	B.1.1	28 taxa
UK741	26 (96.3%)	1 (3.7%)	0 (0%)	0 (0%)	Jun-27, Aug-21	B.1.1	27 taxa
UK1703	27 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, May-01	B.1	27 taxa
UK58	9 (33.33%)	18 (66.67%)	0 (0%)	0 (0%)	Mar-12, Apr-24	B.1	27 taxa
UK1709	17 (65.38%)	6 (23.08%)	3 (11.54%)	0 (0%)	Aug-07, Aug-26	B.1.1	26 taxa
UK1479	26 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-09, Aug-17	B.1.1	26 taxa
UK1388	25 (96.15%)	0 (0%)	0 (0%)	1 (3.85%)	Mar-18, Jul-06	B.1.1	26 taxa
UK1263	21 (80.77%)	3 (11.54%)	0 (0%)	2 (7.69%)	Mar-06, Apr-14	B.1.1	26 taxa
UK1232	25 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-18, Jul-03	B.1.1	25 taxa
UK1346	8 (32.0%)	17 (68.0%)	0 (0%)	0 (0%)	Mar-08, Jul-10	B.1.1	25 taxa
UK5503	25 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Jun-12	B.1	25 taxa
UK1219	24 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, May-14	B.1.1	24 taxa
UK1857	24 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Jul-17	B.1.1, B.1.1.7	24 taxa
UK1619	24 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Jul-24	B.1.1	24 taxa
UK502	1 (4.17%)	23 (95.83%)	0 (0%)	0 (0%)	Mar-06, Apr-16	B.1, B.1.69	24 taxa
UK916	24 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Jul-24	B.1.1	24 taxa
UK1099	23 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, May-14	B.1.1, B.1.1.5	23 taxa
UK1030	23 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, May-14	B.1.5.5, B.1, B.1.5	23 taxa
UK231	23 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Jul-02	B.1	23 taxa
UK1926	21 (95.45%)	0 (0%)	0 (0%)	1 (4.55%)	Mar-17, Jul-01	B.1.1	22 taxa
UK1075	21 (95.45%)	1 (4.55%)	0 (0%)	0 (0%)	Mar-24, May-29	B.1.1	22 taxa
UK1942	17 (77.27%)	4 (18.18%)	1 (4.55%)	0 (0%)	Mar-31, Aug-18	B.1.1	22 taxa
UK349	16 (72.73%)	1 (4.55%)	0 (0%)	5 (22.73%)	Mar-10, May-24	B.2.2	22 taxa
UK1129	22 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Jul-23	B.1.1	22 taxa
UK1759	16 (72.73%)	1 (4.55%)	0 (0%)	5 (22.73%)	Apr-04, Aug-11	B.1	22 taxa
UK1455	21 (95.45%)	0 (0%)	1 (4.55%)	0 (0%)	Aug-04, Aug-19	B.1.1, B.1.1.1	22 taxa
UK695	0 (0%)	0 (0%)	0 (0%)	22 (100.0%)	Mar-25, Apr-12	B.1.67, B.1	22 taxa
UK1317	20 (90.91%)	2 (9.09%)	0 (0%)	0 (0%)	Apr-08, Aug-21	B.1.1	22 taxa
UK1213	21 (95.45%)	1 (4.55%)	0 (0%)	0 (0%)	Jun-08, Jul-27	B.1.1.1	22 taxa
UK1861	20 (95.24%)	0 (0%)	1 (4.76%)	0 (0%)	Mar-27, Jul-15	B.1.1	21 taxa
UK330	7 (33.33%)	14 (66.67%)	0 (0%)	0 (0%)	Mar-27, Jul-02	B.1.93, B.1, B.1.5	21 taxa
UK1202	18 (85.71%)	0 (0%)	0 (0%)	3 (14.29%)	Mar-26, Jun-26	B.1.1	21 taxa
UK213	21 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-10	B.2.1	21 taxa
UK832	15 (71.43%)	5 (23.81%)	0 (0%)	1 (4.76%)	Mar-09, Apr-26	A.5	21 taxa
UK595	16 (80.0%)	1 (5.0%)	0 (0%)	3 (15.0%)	Mar-19, Apr-18	B.2, B.2.9	20 taxa
UK183	18 (90.0%)	0 (0%)	0 (0%)	2 (10.0%)	Mar-03, Apr-03	B.2, B, B.2.1	20 taxa
UK1105	7 (35.0%)	0 (0%)	12 (60.0%)	1 (5.0%)	Jul-03, Aug-20	B.1	20 taxa
UK201	18 (90.0%)	0 (0%)	0 (0%)	2 (10.0%)	Mar-25, Jun-09	B.2, B.18, B	20 taxa
UK70	18 (90.0%)	0 (0%)	1 (5.0%)	1 (5.0%)	Mar-06, Apr-22	B.2, B	20 taxa
UK1300	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-20, Jul-02	B.1.1	19 taxa
UK1375	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-15, Jun-25	B.1.1	19 taxa
UK1418	0 (0%)	19 (100.0%)	0 (0%)	0 (0%)	Mar-23, Jul-09	B.1.5	19 taxa
UK1630	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-30	B.1.1	19 taxa
UK1884	16 (84.21%)	3 (15.79%)	0 (0%)	0 (0%)	Mar-08, Aug-15	B.1.1	19 taxa
UK1790	17 (89.47%)	1 (5.26%)	0 (0%)	1 (5.26%)	Mar-20, Aug-21	B.1.1.10, B.1.1, B.1.1.1	19 taxa
UK630	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-06, Jul-03	B.1.1	19 taxa
UK1577	18 (94.74%)	0 (0%)	0 (0%)	1 (5.26%)	Apr-27, Jun-30	B.1.1	19 taxa
UK1235	0 (0%)	0 (0%)	0 (0%)	19 (100.0%)	Mar-30, May-07	B.1.1	19 taxa
UK1344	18 (94.74%)	0 (0%)	0 (0%)	1 (5.26%)	Apr-02, Jun-23	B.1.1	19 taxa
UK1163	19 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-23, Jul-14	B.1.1	19 taxa
UK629	17 (89.47%)	0 (0%)	0 (0%)	2 (10.53%)	Mar-25, Jun-29	B.1	19 taxa
UK1723	14 (73.68%)	3 (15.79%)	0 (0%)	2 (10.53%)	Mar-20, Aug-24	B.1, B.1.5, B.1.30	19 taxa
UK436	1 (5.56%)	16 (88.89%)	0 (0%)	1 (5.56%)	Mar-24, May-14	B.1.5	18 taxa
UK1725	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-30, Apr-30	B.1.1.1	18 taxa
UK1176	16 (88.89%)	0 (0%)	0 (0%)	2 (11.11%)	Jul-14, Aug-04	B.1.1, B.1.1.1	18 taxa
UK1044	0 (0%)	1 (5.56%)	0 (0%)	17 (94.44%)	Mar-24, May-01	B.1, B.1.5	18 taxa
UK2046	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-09, Jul-01	B.1.1	18 taxa
UK38	16 (88.89%)	1 (5.56%)	0 (0%)	1 (5.56%)	Mar-04, Apr-20	B.2.1	18 taxa
UK1234	18 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Apr-23	B.1.1	18 taxa
UK592	14 (77.78%)	2 (11.11%)	1 (5.56%)	1 (5.56%)	Mar-26, Jul-07	B.1	18 taxa
UK512	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Apr-07, May-13	B.1.5, B.1.5.6	18 taxa
UK842	10 (55.56%)	5 (27.78%)	0 (0%)	3 (16.67%)	Mar-13, Jun-15	B.1	18 taxa
UK261	0 (0%)	18 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-15	A.3	18 taxa
UK2094	16 (94.12%)	0 (0%)	0 (0%)	1 (5.88%)	Mar-31, Jun-24	B.1.1	17 taxa
UK422	16 (94.12%)	0 (0%)	0 (0%)	1 (5.88%)	Mar-22, Apr-30	B.1	17 taxa
UK1908	17 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Jun-08	B.1.1	17 taxa
UK1968	17 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-19, Jun-29	B.1.1	17 taxa
UK1919	14 (87.5%)	1 (6.25%)	0 (0%)	1 (6.25%)	Mar-30, May-01	B.1.1	16 taxa
UK1838	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Jul-23	B.1.1	16 taxa
UK1040	0 (0%)	16 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-06	B.1.1.20, B.1.1	16 taxa
UK334	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Jun-16	B.3	16 taxa
UK2063	14 (87.5%)	0 (0%)	2 (12.5%)	0 (0%)	Mar-21, May-06	B.1.1, B.1.78, B.1	16 taxa
UK1301	15 (93.75%)	0 (0%)	0 (0%)	1 (6.25%)	Apr-06, Jun-18	B.1	16 taxa
UK71	15 (93.75%)	0 (0%)	0 (0%)	1 (6.25%)	Mar-08, May-06	B.2, B	16 taxa
UK973	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-12, Aug-05	B.1, B.1.36	16 taxa
UK153	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-14	B.2	16 taxa
UK263	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-13, Apr-13	B.1	16 taxa
UK1141	14 (87.5%)	0 (0%)	1 (6.25%)	1 (6.25%)	Mar-14, Jun-10	B.1.1	16 taxa
UK1228	16 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, May-11	B.1.1	16 taxa
UK132	14 (93.33%)	1 (6.67%)	0 (0%)	0 (0%)	Mar-27, May-13	B.1	15 taxa
UK245	2 (13.33%)	13 (86.67%)	0 (0%)	0 (0%)	Mar-13, Apr-27	B.2	15 taxa
UK2087	14 (93.33%)	0 (0%)	1 (6.67%)	0 (0%)	Mar-29, Jul-11	B.1.1	15 taxa
UK1981	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-11, Apr-30	B.1.1, B.1	15 taxa
UK1178	11 (73.33%)	0 (0%)	0 (0%)	4 (26.67%)	Apr-03, Apr-27	B.1.1.15, B.1.1	15 taxa
UK200	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Apr-19	B.2.1	15 taxa
UK1982	10 (66.67%)	0 (0%)	0 (0%)	5 (33.33%)	Mar-26, Jun-17	B.1.1.15, B.1.1	15 taxa
UK1135	11 (73.33%)	4 (26.67%)	0 (0%)	0 (0%)	Mar-30, Apr-21	B.1.1.10, B.1.1	15 taxa
UK1380	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-06, Jun-18	B.1.1	15 taxa
UK1939	2 (13.33%)	0 (0%)	0 (0%)	13 (86.67%)	Mar-23, Apr-20	B.1.1	15 taxa
UK1998	15 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, May-01	B.1.1	15 taxa
UK193	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Jul-24	B.2.1	14 taxa
UK478	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-10, Jul-15	B.1, B.1.5	14 taxa
UK780	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-05, Aug-20	B.1.3	14 taxa
UK894	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-03, May-30	B.1.1	14 taxa
UK2030	13 (92.86%)	0 (0%)	1 (7.14%)	0 (0%)	Mar-31, Jul-22	B.1.1	14 taxa
UK1124	12 (85.71%)	2 (14.29%)	0 (0%)	0 (0%)	Mar-26, Jul-26	B.1.1, B.1.1.32	14 taxa
UK1528	12 (85.71%)	2 (14.29%)	0 (0%)	0 (0%)	Jul-20, Aug-20	B.1.1	14 taxa
UK499	13 (92.86%)	1 (7.14%)	0 (0%)	0 (0%)	Mar-05, Apr-13	B.2, B.2.6, B.2.1	14 taxa
UK1207	13 (92.86%)	0 (0%)	0 (0%)	1 (7.14%)	Mar-26, May-04	B.1	14 taxa
UK2079	0 (0%)	0 (0%)	12 (85.71%)	2 (14.29%)	Apr-04, Aug-21	B.1.1, B.1.1.25	14 taxa
UK620	14 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-01	B.1	14 taxa
UK1347	7 (53.85%)	0 (0%)	0 (0%)	6 (46.15%)	May-05, Jun-04	B.1.1	13 taxa
UK1497	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-05	B.1.1, B.1.1.1	13 taxa
UK529	1 (7.69%)	12 (92.31%)	0 (0%)	0 (0%)	Aug-06, Aug-22	B.1	13 taxa
UK1295	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-03	B.1.1	13 taxa
UK2061	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Jul-18	B.1.1	13 taxa
UK1559	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-25	B.1.11	13 taxa
UK1852	12 (92.31%)	0 (0%)	0 (0%)	1 (7.69%)	Mar-17, Jul-18	B.1.1, B.1.1.1	13 taxa
UK2097	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-08, Apr-30	B.1.1	13 taxa
UK1992	7 (53.85%)	5 (38.46%)	0 (0%)	1 (7.69%)	Mar-28, May-05	B.1.1	13 taxa
UK1216	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-14	B.1, B.1.5	13 taxa
UK1363	4 (30.77%)	1 (7.69%)	8 (61.54%)	0 (0%)	Mar-12, Aug-21	B.1	13 taxa
UK1844	11 (84.62%)	1 (7.69%)	0 (0%)	1 (7.69%)	Mar-11, Aug-18	B.1.1	13 taxa
UK1362	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-09, Aug-12	B.1.1.15, B.1.1	13 taxa
UK1114	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-02	B.1.1	13 taxa
UK1803	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Jul-02	B.1.1	13 taxa
UK568	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-02	B.2	13 taxa
UK34	13 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-27, Aug-19	B.2.1, B.4	13 taxa
UK1570	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Jun-23	B.1.1	12 taxa
UK160	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-23, Jul-01	B.1	12 taxa
UK962	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Jun-12	B.1.1	12 taxa
UK1336	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-09, Jul-26	B.1.77, B.1	12 taxa
UK288	8 (66.67%)	2 (16.67%)	1 (8.33%)	1 (8.33%)	Mar-12, Apr-04	B.2.1	12 taxa
UK5525	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-29	B.1	12 taxa
UK1830	11 (91.67%)	0 (0%)	1 (8.33%)	0 (0%)	Mar-31, Jul-02	B.1.1	12 taxa
UK406	4 (33.33%)	2 (16.67%)	5 (41.67%)	1 (8.33%)	Aug-10, Sep-04	B.1, B.1.79	12 taxa
UK561	11 (91.67%)	0 (0%)	0 (0%)	1 (8.33%)	Mar-01, Apr-15	B.1	12 taxa
UK713	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Apr-04	B.1.1	12 taxa
UK826	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-12, Aug-21	B.1, B.1.36	12 taxa
UK5084	8 (66.67%)	1 (8.33%)	0 (0%)	3 (25.0%)	Mar-27, Jun-18	B.1	12 taxa
UK1050	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Aug-26	B.1.1	12 taxa
UK967	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-14, Aug-20	B.1.1	12 taxa
UK256	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, May-07	B.2, B.2.4	12 taxa
UK522	0 (0%)	12 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-24	B.1	12 taxa
UK819	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Aug-02, Aug-13	B.1, B.1.113	12 taxa
UK1314	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Aug-02	B.1.1	12 taxa
UK1681	12 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-14, Jun-16	B.1.1, B.1.1.1	12 taxa
UK2053	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-27	B.1.1	11 taxa
UK1359	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-09, May-18	B.1.1	11 taxa
UK889	7 (63.64%)	1 (9.09%)	0 (0%)	3 (27.27%)	Apr-05, Aug-18	B.1	11 taxa
UK1987	4 (36.36%)	0 (0%)	0 (0%)	7 (63.64%)	Mar-20, May-01	B.1.1	11 taxa
UK934	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Apr-13	B.1.1	11 taxa
UK558	10 (90.91%)	1 (9.09%)	0 (0%)	0 (0%)	Feb-29, Apr-22	B.2	11 taxa
UK1411	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-13, Jul-15	B.1.1	11 taxa
UK1881	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-14, May-18	B.1.1	11 taxa
UK22	11 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-02, Apr-21	B	11 taxa
UK1179	1 (9.09%)	0 (0%)	10 (90.91%)	0 (0%)	Mar-29, May-16	B.1.1	11 taxa
UK552	6 (54.55%)	5 (45.45%)	0 (0%)	0 (0%)	Mar-18, Apr-04	A.1	11 taxa
