Lineage name	England	Scotland	Northern Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK5	313 (96.9%)	9 (2.79%)	1 (0.31%)	Mar-07, May-25	323	B.1.1.1	0	active today
UK2464	97 (84.35%)	18 (15.65%)	0 (0%)	Mar-12, May-01	115	B.1.p11	24	0.0183
UK9	93 (100.0%)	0 (0%)	0 (0%)	Mar-19, May-03	93	B.1.13	22	0.0222
UK494	68 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-01	68	B.1.p11	24	0.0255
UK177	56 (100.0%)	0 (0%)	0 (0%)	Mar-27, May-01	56	B.1.1	24	0.0265
UK115	53 (100.0%)	0 (0%)	0 (0%)	Mar-17, Apr-20	53	B.2.1	35	0.0187
UK66	52 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-01	52	B.1.1.8	24	0.0359
UK2916	47 (97.92%)	0 (0%)	1 (2.08%)	Feb-27, May-10	48	B.1	15	0.1035
UK2913	46 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-30	46	B.1.p11	25	0.04
UK26	37 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-06	37	B.1.1.3	19	0.0716
UK346	34 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-19	34	B.1.72, B.1	36	0.0286
UK4	32 (96.97%)	0 (0%)	1 (3.03%)	Mar-11, Apr-14	33	B	41	0.0259
UK19	33 (100.0%)	0 (0%)	0 (0%)	Mar-14, May-10	33	B.1	15	0.1188
UK63	33 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-30	33	B.1.1	25	0.0412
UK760	0 (0%)	0 (0%)	32 (100.0%)	Mar-27, Apr-22	32	B.1.1	33	0.0254
UK28	31 (100.0%)	0 (0%)	0 (0%)	Mar-26, May-01	31	B.1.1.10	24	0.05
UK40	0 (0%)	31 (100.0%)	0 (0%)	Mar-21, Apr-07	31	B.16	48	0.0118
UK112	30 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-04	30	B.1.1	21	0.0722
UK13	30 (100.0%)	0 (0%)	0 (0%)	Mar-13, May-09	30	B.1.1	16	0.1228
UK371	30 (100.0%)	0 (0%)	0 (0%)	Mar-29, May-09	30	B.1.1	16	0.0884
UK31	28 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-06	28	B.1	19	0.0897
UK37	28 (100.0%)	0 (0%)	0 (0%)	Mar-17, May-04	28	B.1.30	21	0.0847
UK138	27 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-17	27	B.2.1	38	0.0253
UK79	25 (100.0%)	0 (0%)	0 (0%)	Mar-24, May-04	25	B.1	21	0.0813
UK8	24 (100.0%)	0 (0%)	0 (0%)	Mar-10, Apr-08	24	B	47	0.0268
UK36	10 (41.67%)	13 (54.17%)	1 (4.17%)	Mar-19, Apr-14	24	B.1	41	0.0276
UK3035	23 (100.0%)	0 (0%)	0 (0%)	Mar-24, May-08	23	B.1	17	0.1203
UK81	22 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-27	22	B.1.1	28	0.0663
UK5098	0 (0%)	21 (100.0%)	0 (0%)	Mar-23, Apr-07	21	B.1.p73	48	0.0156
UK114	20 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-13	20	B.1.1	42	0.0351
UK109	20 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-01	20	B.1.5	24	0.0899
UK61	20 (100.0%)	0 (0%)	0 (0%)	Mar-12, Apr-18	20	B.3	37	0.0526
UK158	19 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-19	19	B.1.1	36	0.0417
UK339	17 (89.47%)	2 (10.53%)	0 (0%)	Mar-14, Apr-16	19	B.3	39	0.047
UK51	18 (94.74%)	1 (5.26%)	0 (0%)	Mar-26, May-08	19	B.1.36	17	0.1405
UK3	18 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-05	18	B.1	20	0.1412
UK39	0 (0%)	18 (100.0%)	0 (0%)	Mar-24, Apr-07	18	A.2	48	0.0172
UK5675	18 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-01	18	B.2	54	0.0109
UK77	18 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-26	18	B.2	29	0.069
UK276	17 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-16	17	B.1.1	39	0.0465
UK2735	13 (76.47%)	1 (5.88%)	3 (17.65%)	Mar-24, May-07	17	B.1.1	18	0.1528
UK225	0 (0%)	17 (100.0%)	0 (0%)	Mar-21, Apr-07	17	B.2	48	0.0221
UK5741	16 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-19	16	B.1	36	0.037
UK274	16 (100.0%)	0 (0%)	0 (0%)	Mar-15, Apr-08	16	B.3	47	0.034
UK101	16 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-26	16	B.1.5	29	0.0828
UK33	15 (100.0%)	0 (0%)	0 (0%)	Mar-30, May-08	15	B.1.1	17	0.1639
UK5309	15 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-29	15	B.1.1.10, B.1.1	26	0.0962
UK183	15 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-15	15	B.1.1	40	0.0304
UK179	14 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-18	14	B.1.1.p11	37	0.0478
UK254	14 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-14	14	B.1.1	41	0.0469
UK126	14 (100.0%)	0 (0%)	0 (0%)	Mar-29, May-01	14	B.1.1	24	0.1058
UK632	14 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-18	14	B.1.1	37	0.0499
UK128	13 (100.0%)	0 (0%)	0 (0%)	Apr-03, May-07	13	B.1.1	18	0.1574
UK397	13 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-14	13	B.1.1.13	41	0.0346
UK72	3 (23.08%)	0 (0%)	10 (76.92%)	Mar-13, Apr-21	13	B.10	34	0.0956
UK173	13 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-11	13	B	44	0.0492
UK5498	13 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-20	13	B.2	35	0.0452
UK23	12 (92.31%)	1 (7.69%)	0 (0%)	Mar-18, Apr-03	13	B.9, B	52	0.0256
UK3021	12 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-16	12	B.1	39	0.0723
UK146	12 (100.0%)	0 (0%)	0 (0%)	Apr-01, May-07	12	B.1.1	18	0.1818
UK214	12 (100.0%)	0 (0%)	0 (0%)	Mar-14, May-01	12	B.1.1	24	0.1818
UK569	12 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-14	12	B.1.1	41	0.0488
UK637	12 (100.0%)	0 (0%)	0 (0%)	Mar-28, May-01	12	B.1.1	24	0.1288
UK368	11 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-01	11	B.1	24	0.1833
UK5260	11 (100.0%)	0 (0%)	0 (0%)	Apr-05, May-02	11	B.1.1	23	0.1174
UK103	11 (100.0%)	0 (0%)	0 (0%)	Mar-30, May-04	11	B.1.1	21	0.1667
UK5339	11 (100.0%)	0 (0%)	0 (0%)	Apr-15, Apr-29	11	B.1.1	26	0.0538
UK18	11 (100.0%)	0 (0%)	0 (0%)	Mar-12, May-03	11	B.1.1.7	22	0.2364
UK726	11 (100.0%)	0 (0%)	0 (0%)	Apr-04, May-01	11	B.1	24	0.1125
UK174	11 (100.0%)	0 (0%)	0 (0%)	Mar-19, May-02	11	B.1.5	23	0.1913
UK354	10 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-07	10	B.1.1	48	0.0231
UK513	10 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-11	10	B.1.p11	44	0.0202
UK134	10 (100.0%)	0 (0%)	0 (0%)	Mar-09, Apr-07	10	B.1	48	0.0671
UK88	0 (0%)	10 (100.0%)	0 (0%)	Mar-23, Apr-07	10	B.1	48	0.0347
UK5713	10 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-14	10	B.1.1, B.2	41	0.0515
UK2045	10 (100.0%)	0 (0%)	0 (0%)	Mar-17, Apr-29	10	B, B.1	26	0.1838
UK241	10 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-16	10	B.1.5.3	39	0.0712
UK6	10 (100.0%)	0 (0%)	0 (0%)	Mar-17, Apr-14	10	B.1	41	0.0759
UK132	8 (88.89%)	1 (11.11%)	0 (0%)	Mar-27, Apr-29	9	B.1	26	0.1587
UK12	8 (88.89%)	0 (0%)	1 (11.11%)	Mar-22, Apr-13	9	B.1.p11	42	0.0655
UK5649	9 (100.0%)	0 (0%)	0 (0%)	Apr-04, Apr-19	9	B.2.6	36	0.0521
UK5338	9 (100.0%)	0 (0%)	0 (0%)	Apr-29, May-02	9	B.1.1	23	0.0163
UK123	9 (100.0%)	0 (0%)	0 (0%)	Mar-23, May-01	9	B.1	24	0.2031
UK2013	9 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-26	9	B.1	29	0.1207
UK95	9 (100.0%)	0 (0%)	0 (0%)	Mar-17, Apr-05	9	B.2.1	50	0.0475
UK58	6 (66.67%)	3 (33.33%)	0 (0%)	Mar-17, Apr-09	9	B.1	46	0.0625
UK5409	9 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-19	9	B.1.1	36	0.0799
UK2200	3 (33.33%)	6 (66.67%)	0 (0%)	Mar-20, Apr-07	9	B.1.5.6, B.1.5	48	0.0469
UK5707	7 (77.78%)	0 (0%)	2 (22.22%)	Mar-18, Apr-15	9	B.1.1, B.2	40	0.0875
UK5672	9 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-04	9	B.2	51	0.0392
UK441	9 (100.0%)	0 (0%)	0 (0%)	Apr-04, May-01	9	B.1.1	24	0.1406
UK318	8 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-10	8	B	45	0.0667
UK62	8 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-09	8	B.3	46	0.0497
UK645	8 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-08	8	B.2.1	47	0.0304
UK291	8 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-05	8	B.2.1	50	0.0657
UK163	8 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-07	8	B.1.1	48	0.0327
UK86	8 (100.0%)	0 (0%)	0 (0%)	Mar-23, Mar-30	8	B.1	56	0.0179
UK53	8 (100.0%)	0 (0%)	0 (0%)	Apr-02, Apr-16	8	B.1.1.4	39	0.0513
UK341	8 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-12	8	B.1	43	0.0664
UK45	7 (87.5%)	1 (12.5%)	0 (0%)	Mar-26, Apr-15	8	B.1.1	40	0.0714
UK251	8 (100.0%)	0 (0%)	0 (0%)	Mar-26, May-02	8	B.1.1	23	0.2298
UK2904	0 (0%)	0 (0%)	8 (100.0%)	Apr-06, Apr-22	8	B.1.p11	33	0.0693
UK64	8 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-15	8	B.1	40	0.05
UK42	8 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-28	8	B.1, B.1.35	27	0.164
UK759	8 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-04	8	B.1.1	51	0.0196
UK30	7 (100.0%)	0 (0%)	0 (0%)	Mar-23, May-02	7	B.1.1	23	0.2899
UK67	7 (100.0%)	0 (0%)	0 (0%)	Apr-26, May-04	7	B.1.1	21	0.0635
UK195	7 (100.0%)	0 (0%)	0 (0%)	Mar-31, May-03	7	B.1.1	22	0.25
UK913	7 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-29	7	B.1	26	0.1667
UK119	7 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-07	7	B.2.5	48	0.0521
UK1006	7 (100.0%)	0 (0%)	0 (0%)	Apr-04, Apr-29	7	B.1.1	26	0.1603
UK511	7 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-29	7	B.1.1	26	0.1538
UK253	7 (100.0%)	0 (0%)	0 (0%)	Apr-10, May-03	7	B.1.1	22	0.1742
UK564	7 (100.0%)	0 (0%)	0 (0%)	Apr-03, May-02	7	B.1.1	23	0.2101
UK5523	7 (100.0%)	0 (0%)	0 (0%)	May-01, May-23	7	B.1	2	1.8333
UK5174	6 (85.71%)	0 (0%)	1 (14.29%)	Mar-26, Apr-07	7	B.1.1.7	48	0.0417
UK190	7 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-06	7	B.1	49	0.0646
UK659	6 (100.0%)	0 (0%)	0 (0%)	Mar-21, Mar-30	6	B	56	0.0321
UK70	5 (83.33%)	0 (0%)	1 (16.67%)	Mar-28, Apr-16	6	B.2	39	0.0974
UK46	6 (100.0%)	0 (0%)	0 (0%)	Mar-14, Apr-16	6	B.2.1	39	0.1692
UK92	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-16	6	B.1.1	39	0.0821
UK444	3 (50.0%)	0 (0%)	3 (50.0%)	Mar-31, Apr-21	6	B.1.1	34	0.1235
UK552	2 (33.33%)	4 (66.67%)	0 (0%)	Mar-23, Mar-29	6	A.1	57	0.0211
UK510	6 (100.0%)	0 (0%)	0 (0%)	Apr-02, Apr-16	6	B.1.1	39	0.0718
UK517	6 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-12	6	B.1.1	43	0.0651
UK44	0 (0%)	6 (100.0%)	0 (0%)	Mar-23, Mar-26	6	B	60	0.01
UK512	6 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	6	B.1.1	42	0.0667
UK541	6 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-12	6	B.1.1	43	0.0512
UK329	5 (83.33%)	1 (16.67%)	0 (0%)	Mar-24, May-07	6	B.1.1	18	0.4889
UK237	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, May-07	6	B.1.1	18	0.4111
UK746	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-14	6	B.1.5	41	0.0683
UK5084	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-15	6	B.1	40	0.075
UK255	5 (83.33%)	1 (16.67%)	0 (0%)	Apr-03, Apr-16	6	B.1.1	39	0.0667
UK566	6 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-15	6	B.1.1.10	40	0.06
UK330	6 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-13	6	B.1.1	42	0.1
UK634	6 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-18	6	B.1.1	37	0.1027
UK287	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-06	6	B.1	49	0.0245
